"","Discipline","Description of Finding","Original Report","Replication Report"
"...945",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 14)"
"...946",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 15)"
"...947",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 16)"
"...948",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 17)"
"...949",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 18)"
"...950",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 19)"
"...951",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 20)"
"...952",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 21)"
"...953",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 22)"
"...954",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 23)"
"...955","Social Psychology","Need for Cognition moderates the effect of affective expectations on experience (interaction effect)","Geers, A. L., & Lassiter, G. D. (2003). Need for cognition and expectations as determinants of affective experience. Basic and Applied Social Psychology, 25(4), 313-325. Study 1","Röseler, L., Doetsch, C. A., Förster, N., Bruzsa, A., Deublein, M., Rieger, E., Schmidt, C., Seitz, A., & Wild, A. (2024). No Evidence for the Affective Expectation Model: Replication of Geers and Lassiter  (2003). https://doi.org/10.31234/osf.io/akfzh"
"...959","Consumer Psychology","Variety reduces perceived quantity","Redden, J. P., & Hoch, S. J. (2009). The presence of variety reduces perceived quantity. Journal of Consumer Research, 36(3), 406-417., Study 3","Röseler, L., Felser, G., Asberger, J., & Schütz, A. (2020, October 23). No effect of variety on perceived quantity: Evidence from six studies. (Study 3)"
"...960","Consumer Psychology","Variety reduces perceived quantity","Redden, J. P., & Hoch, S. J. (2009). The presence of variety reduces perceived quantity. Journal of Consumer Research, 36(3), 406-417., Study 1","Röseler, L., Felser, G., Asberger, J., & Schütz, A. (2020, October 23). No effect of variety on perceived quantity: Evidence from six studies. (Study 4)"
"...961","Consumer Psychology","Variety reduces perceived quantity","Redden, J. P., & Hoch, S. J. (2009). The presence of variety reduces perceived quantity. Journal of Consumer Research, 36(3), 406-417., Study 1","Röseler, L., Felser, G., Asberger, J., & Schütz, A. (2020, October 23). No effect of variety on perceived quantity: Evidence from six studies. (Study 5)"
"...962","Social Psychology","the chameleon effect/ nonconcious mimicry","Chartrand, T. L., & Bargh, J. A. (1999). The chameleon effect: The perception–behavior link and social interaction. Journal of Personality and Social Psychology, 76(6), 893–910. https://doi.org/10.1037/0022-3514.76.6.893","Förster, N., & Röseler, L. (2022, November 25). The Chameleon Effect: A Replication Study. "
"...964","Developmental Psychology","The magnitude of the age of acquisition effect I(i.e. early-acquired words are named more quickly than later-acquired words) in lexical retrieval is larger in picture naming than visual word naming.","Lambon Ralph, M.A., & Ehsan, S. (2006). Age of acquisition effects depend on the mapping between representations and the frequency of occurrence: Empirical and computational evidence, Visual Cognition, 13:7-8, 928-948. https://doi.org/10.1080/13506280544000110","Catling, J., & Elsherif, M. (2020). The hunt for the age of acquisition effect: It’s in the links! Acta Psychologica, 209, 103138. (Supplementary to compare Study 1 and Study 3)"
"...966","Social psychology","Implicit Theory of Mind can be measured through anticipatory looking patterns measured through eye-tracking.","Southgate, V., Senju, A., & Csibra, G. (2007). Action anticipation through attribution of false belief by 2-year-olds. Psychological science, 18(7), 587-592.","Kulke, L., Von Duhn, B., Schneider, D., & Rakoczy, H. (2018). Is implicit theory of mind a real and robust phenomenon? results from a systematic replication study. Psychological Science, 29(6), 888–900. "
"...967","Social psychology","Growth mindset is associated with the change of grades in a challenging educational transition.","Blackwell, L. S., Trzesniewski, K. H., & Dweck, C. S. (2007). Implicit theories of intelligence predict achievement across an adolescent transition: A longitudinal study and an intervention. Child development, 78(1), 246-263. https://doi.org/10.1111/j.1467-8624.2007.00995.x Study 1","Li, Y., & Bates, T. C. (2020). Testing the association of growth mindset and grades across a challenging transition: Is growth mindset associated with grades? Intelligence, 81, 101471. (Study 2)"
"...968","Social psychology","Reading the word ""red"" before an achievement test reduces test performance as compared to reading the word of a control color","Lichtenfeld, S. ,Maier, M. A., Elliot, A. J., & Pekrun, R. (2009 ).The semantic red effect: Processing the word red undermines intellectual performance . Journal of Experimental Social Psychology , 45 ,1273 –1276 . https://doi.org/10.1016/j.jesp.2009.06.003 Experiment 2","Gnambs, T., Kovacs, C., & Stiglbauer, B. (2020). Processing the word red and Intellectual Performance: Four replication attempts. Collabra, 6(1)."
"...969","Social psychology","Reading the word ""red"" before an achievement test reduces test performance as compared to reading the word of a control color","Lichtenfeld, S. ,Maier, M. A., Elliot, A. J., & Pekrun, R. (2009 ).The semantic red effect: Processing the word red undermines intellectual performance . Journal of Experimental Social Psychology , 45 ,1273 –1276 . https://doi.org/10.1016/j.jesp.2009.06.003 Experiment 2","Gnambs, T., Kovacs, C., & Stiglbauer, B. (2020). Processing the word red and Intellectual Performance: Four replication attempts. Collabra, 6(1). (Experiment 2)"
"...970","Meta Science","Laypeople are able to predict the replication success of social science findings based on their intuitive plausibility","Hoogeveen, S., Sarafoglou, A., & Wagenmakers, E.-J. (2020). Laypeople Can Predict Which Social-Science Studies Will Be Replicated Successfully. Advances in Methods and Practices in Psychological Science, 3(3), 267–285. https://doi.org/10.1177/2515245920919667","Rausch, M. (2023, April 13). Can Laypeople Predict which Social Science Studies Will be Replicated Successfully?. "
"...971","Social psychology","Effect of smile intensity on photographs on longevity (partial smile vs. nonsmile)","Abel, E. L., & Kruger, M. L. (2010). Smile intensity in photographs predicts longevity. Psychological Science, 21, 542-544. doi: 10.1177/0956797610363775","Dufner, M., Brümmer, M., Chung, J. M., Drewke, P. M., Blaison, C., & Schmukle, S. C. (2018). Does smile intensity in photographs really predict longevity? A replication and extension of Abel and Kruger (2010). Psychological Science, 29(1), 147-153."
"...973","Social psychology","The Door-in-the-Face (DITF) technique suggests that people are more likely to agree to a target request after initially rejecting a larger request. ","Cialdini, R. B., Vincent, J. E., Lewis, S. K., Catalan, J., Wheeler, D., & Darby, B. L. (1975). Reciprocal concessions procedure for inducing compliance: The door-in-the-face technique. Journal of Personality and Social Psychology, 31(2), 206–215. https://doi.org/10.1037/h0076284","Genschow, O., Westfal, M., Crusius, J., Bartosch, L., Feikes, K. I., Pallasch, N., & Wozniak, M. (2021). Does social psychology persist over half a century? A direct replication of Cialdini et al.’s (1975) classic door-in-the-face technique. Journal of Personality and Social Psychology, 120(2), e1–e7. "
"...974",NA,"People who are faced with a goal conflict are (1) more likely to spend time on work and (2) less likely to spend time on leisure.","Etkin, J. & Memmi, S. (2021). Goal Conflict Encourages Work and Discourages Leisure. Journal of Consumer Research, 47(5), 716–736. https://doi.org/10.1093/jcr/ucaa019 Study 1a","Simmons, J. &. Nelson, L.D. (2021, May 4). [97] Data Replicada #10: Does Goal Conflict Affect Time Spent on Work and Leisure? Data Colada. (Replication 1 Effect 1)"
"...975",NA,"People who are faced with a goal conflict are (1) more likely to spend time on work and (2) less likely to spend time on leisure.","Etkin, J. & Memmi, S. (2021). Goal Conflict Encourages Work and Discourages Leisure. Journal of Consumer Research, 47(5), 716–736. https://doi.org/10.1093/jcr/ucaa019 Study 1a","Simmons, J. &. Nelson, L.D. (2021, May 4). [97] Data Replicada #10: Does Goal Conflict Affect Time Spent on Work and Leisure? Data Colada. (Replication 1 Effect 2)"
